"payer","encounterclass","total_claim_cost","total_payer_coverage","uncovered_cost","coverage_ratio"
"Anthem","outpatient","465689.08","0.00","465689.08","0.00"
"UnitedHealthcare","wellness","84096.69","0.00","84096.69","0.00"
"Cigna Health","ambulatory","1564006.12","787.60","1563218.52","0.00"
"Cigna Health","emergency","64085.38","64.64","64020.74","0.00"
"Anthem","inpatient","22515.63","0.00","22515.63","0.00"
"Humana","wellness","169122.36","0.00","169122.36","0.00"
"NO_INSURANCE","inpatient","3026351.52","0.00","3026351.52","0.00"
"Humana","ambulatory","2195560.82","1942.30","2193618.52","0.00"
"NO_INSURANCE","urgentcare","19414909.39","0.00","19414909.39","0.00"
"Aetna","outpatient","397964.22","0.00","397964.22","0.00"
"Cigna Health","outpatient","447980.14","0.00","447980.14","0.00"
"UnitedHealthcare","outpatient","597294.46","0.00","597294.46","0.00"
"Aetna","ambulatory","1624914.75","1502.99","1623411.76","0.00"
"NO_INSURANCE","wellness","2028324.05","0.00","2028324.05","0.00"
"Humana","outpatient","492547.57","0.00","492547.57","0.00"
"Cigna Health","urgentcare","5760.24","0.00","5760.24","0.00"
"Anthem","urgentcare","2954.70","0.00","2954.70","0.00"
"Cigna Health","inpatient","198859.66","116.11","198743.55","0.00"
"UnitedHealthcare","emergency","116046.01","83.70","115962.31","0.00"
"Humana","urgentcare","8585.52","0.00","8585.52","0.00"
"Aetna","emergency","145613.85","0.00","145613.85","0.00"
"Cigna Health","wellness","143841.42","0.00","143841.42","0.00"
"UnitedHealthcare","inpatient","152923.30","0.00","152923.30","0.00"
"UnitedHealthcare","ambulatory","1606641.48","3472.54","1603168.94","0.00"
"Anthem","emergency","864860.50","0.00","864860.50","0.00"
"Aetna","wellness","122828.08","102.60","122725.48","0.00"
"Anthem","ambulatory","1530632.35","0.00","1530632.35","0.00"
"NO_INSURANCE","emergency","5428222.01","0.00","5428222.01","0.00"
"NO_INSURANCE","ambulatory","12582242.11","0.00","12582242.11","0.00"
"Anthem","wellness","96062.79","0.00","96062.79","0.00"
"Humana","emergency","134884.53","11.56","134872.97","0.00"
"Humana","inpatient","543220.56","0.00","543220.56","0.00"
"Aetna","inpatient","291442.58","0.00","291442.58","0.00"
"NO_INSURANCE","outpatient","6779241.08","0.00","6779241.08","0.00"
"Aetna","urgentcare","7192.62","174.57","7018.05","0.02"
"UnitedHealthcare","urgentcare","6506.04","381.08","6124.96","0.06"
"Blue Cross Blue Shield","urgentcare","11171.70","2483.03","8688.67","0.22"
"Blue Cross Blue Shield","wellness","109278.28","36029.33","73248.95","0.33"
"Blue Cross Blue Shield","outpatient","436239.36","269479.61","166759.75","0.62"
"Blue Cross Blue Shield","emergency","63805.92","43175.55","20630.37","0.68"
"Blue Cross Blue Shield","ambulatory","2145035.37","1551846.97","593188.40","0.72"
"Blue Cross Blue Shield","inpatient","236635.38","171481.85","65153.53","0.72"
"Dual Eligible","urgentcare","58204.23","43703.89","14500.34","0.75"
"Medicare","outpatient","3601667.19","2723800.49","877866.70","0.76"
"Medicare","ambulatory","5187016.53","3981092.40","1205924.13","0.77"
"Medicare","urgentcare","3808344.98","2988872.67","819472.31","0.78"
"Medicare","emergency","3140249.41","2461510.11","678739.30","0.78"
"Medicare","wellness","5107193.15","4044067.74","1063125.41","0.79"
"Dual Eligible","outpatient","94805.87","74766.58","20039.29","0.79"
"Medicare","inpatient","3802757.63","3016347.96","786409.67","0.79"
"Dual Eligible","ambulatory","395385.68","328692.17","66693.51","0.83"
"Medicaid","urgentcare","25720.54","23294.49","2426.05","0.91"
"Medicaid","outpatient","781538.15","709711.67","71826.48","0.91"
"Medicaid","wellness","55481.47","51654.05","3827.42","0.93"
"Dual Eligible","wellness","311203.44","289896.22","21307.22","0.93"
"Dual Eligible","emergency","305807.60","285932.94","19874.66","0.94"
"Dual Eligible","inpatient","381519.17","357714.07","23805.10","0.94"
"Medicaid","inpatient","152908.91","143104.96","9803.95","0.94"
"Medicaid","emergency","486476.32","456049.77","30426.55","0.94"
"Medicaid","ambulatory","7452005.63","7034158.78","417846.85","0.94"
